ref,osm_type,osm_id,lat,lon,action
2,node,6365018208,46.1915699,6.2192536,modify
4,node,7235233455,46.1848751,6.2082966,modify
1,way,200081737,46.1909334,6.215138,modify
5,way,200400323,46.1919755,6.2110209,modify
3,,,46.18527,6.220279,create
