city_name,title,address,latitude,longitude,comment
Saint-Péray,La Baguetterie,"767 Avenue Gross Umstadt, 07130 Saint-Péray, France",44.94207,4.861126,"Horaires exceptionnels: 
Ouverture de 5h à 18h
"
Saint-Péray,Boulangerie Marie Blachère,"Avenue Gross Umstadt, 07130 Saint-Péray, France",44.943165,4.8587575,"Horaires exceptionnels: 
Ouverture de 7h30 à 18h30"
Saint-Péray,Boucherie DEMARS,"629 Avenue Gross Umstadt, 07130 Saint-Péray, France",44.9429,4.8602242,"Horaires exceptionnels
Ouvert seulement le matin de 7h30 à 12h30 "
Saint-Péray,Vival,"10 Place de la Mairie, 07130 Saint-Péray, France",44.944096,4.8411713,"Nouveaux horaire a definir 
Conseillé d'appeler avant de vous déplacer
tel: 04 75 40 51 10"
Saint-Péray,Au Fournil de Nicolas,"10 Rue Ferdinand Malet, 07130 Saint-Péray, France",44.943367,4.8409004,"Nouveaux horaires a partir du 18 Mars
6h00 - 14h00"
Saint-Péray,Satoriz,"100 avenue Gross Umstadt Zone Murets Satoriz, 07130 Saint-Péray, France",44.944775,4.854303,Nouveaux horaires 10:00 - 17:00
Saint-Péray,Boucherie Charcuterie Traiteur Marlard,"70 Rue de la République, 07130 Saint-Péray, France",44.944542,4.841819,"""Chers clients,
En ces moments très difficiles notre priorité absolu est de protéger nos clients et notre équipe afin de limiter au maximum la propagation du virus, nous avons pris les mesures qui s'imposent naturellement dans un cas aussi exceptionnel.
N’hésitez pas à passer vos commandes au 04.75.40.30.52, par mail, ou par Facebook. Afin de gérer au mieux la situation, pour éviter les attentes trop longue en magasin et la rupture de stock de certains produits. 
Votre boucherie traiteur est ouverte aux horaires habituels :
Mardi : 6h30 - 19h30
Mercredi : 6h30 - 12h30 
Jeudi, vendredi, samedi : 6h30-19h30
Dimanche : 7h30 - 12h15 
Notre équipe vous y accueillent en suivant les règles d'hygiène les plus strictes, nettoyer et désinfecter là poignet de porte ainsi que l’appareil à carte bleu régulièrement, lavage des mains et/ou désinfecter avec une solution hydroalcoolique entre chaque paiements nous vous servirons (comme d’habitude) avec des gants sur chaque mains, portant chacun un masque et limitant le nombre de clients par 2 au sein de l'établissements. 
Nous vous remercions de respecter les règles sanitaires pour éviter tout risque de contagion, notamment de conserver une distance minimum de 1 mètre entre vous dans la file d'attente.
La boutique met en place des services de livraison sur St-peray, Guilherand-Grange, Cornas et Toulaud (uniquement produits frais pour un minimum de 10€) le mardi, jeudi, vendredi et samedi de 12h à 14h et de 16h à 18h, par téléphone/Facebook
Soyons tous responsables, protégeons nous, protégeons les plus fragiles, et nos proches. 
Bon courage à vous dans cet épreuve.
Morgane, Paul-Alexandre, Guillaume et Alicia."""
