city_name,title,address,latitude,longitude,comment
Rennes,Scarabée Biocoop Rennes Rue Vasselot,"10 Rue Vasselot, 35000 Rennes, France",48.108562,-1.6788349,"Pas de changement d'horaires d'ouverture.

""Bonjour à tous, suite à vos nombreuses questions, nos magasins seront bien approvisionnés pour les rayons alimentaires en priorité. Pas de panique donc et pas besoin de faire du stockage. Plus d'info sur notre actualité sur ce lien : https://scarabee-biocoop.fr/actualites-bio/lapprovisionnement-en-magasin-pas-de-panique"""
Rennes,La Vie Claire Rennes,"7 Rue Poullain Duparc, 35000 Rennes, France",48.1085,-1.6805464,"Pour l'instant pas de changement d'horaires.
Contact : 02 99 79 18 30"
