city_name,title,address,latitude,longitude,comment
Gaillard,Casino supermarché,"97 Rue de Genève, 74240 Gaillard, France",46.190987,6.215096,
Gaillard,Boucherie du Bel'Os,"1 Rue des Bellosses, 74100 Ambilly, France",46.191586,6.219253,"Boucherie de quartier et proposant des produits locaux 
"
Gaillard,Costa Earl,"9 Rue de l'Industrie, 74240 Gaillard, France",46.18527,6.220279,"
COMMANDEZ MAINTENANT 
 RETIREZ VOS FRUITS ET LEGUMES JEUDI 02 AVRIL
 04 50 92 00 39  06 75 78 24 70  Messages privés
VENTES A LA FERME LES VENDREDIS & SAMEDIS DU 8H A 14H !"
Gaillard,Le Savoyard Gourmand,"5 Cours de la République, 74240 Gaillard, France",46.18493,6.2082686,"Savoyard Gourmand proposes des produits locaux et de qualité.
"
Gaillard,Spar,"118 Rue de Genève, 74240 Gaillard, France",46.19209,6.210847,Supermarché de quartier
